recipe_tag	coefficient
alfredo	-0.0030085111524947006
almond	0.06507541156052887
american	0.014975763221529973
appetizer	-0.02678584370618206
appetizers	0.029134266710249785
apple	0.007745511802307601
asiancuisine	-0.013958574743633123
asparagus	0.0017064833623406626
avocado	0.0029965935567902446
bacon	-0.183617339951858
baked	-0.04917077395857351
bakeddishes	-0.06437478178408067
bakery	0.09606518103731262
baking	-0.06095058178461768
beans	0.004485965008221984
beef	-0.038253511702335354
bellpeppers	-0.0012079262178552725
berries	-0.001803506331899607
bias	0.3804244219282845
blackbeans	-0.0012079262178552725
blackvinegar	0.01514721572646105
blueberry	0.031800976788958754
boiledeggs	0.03376736445063482
bokchoy	0.03376736445063482
braided	-0.0067926275972896594
bread	0.04879067831277366
breaded	-0.005167165556030828
breakfast	-0.012257603211899226
breakfastpastry	-0.014067457193841353
brioche	0.038746038790336744
broiling	0.030684335716452727
brownies	-0.1209402970169219
brownsugar	-0.0067883475121072265
brunch	-0.05898538116688873
burger	0.0075010570197574225
burritos	0.1584240945365649
buttery	0.07333961430708949
cake	0.023454629398007625
carrots	0.03376736445063482
casserole	-0.00605930563668759
celebration	0.06981273827443667
cheese	0.05587159918055615
cheesy	-0.08002347291085493
cherry	0.018370280596827764
chicken	0.050259186211711236
chickpeas	0.0075010570197574225
chilioil	0.008694569171215357
chilipowder	-0.0012079262178552725
chinese	-0.0019787961923641325
chinesecookingwine	-0.0064526465552456926
chinesecuisine	-0.009785218566097743
chocolate	-0.001578449106494892
chocolatechip	0.05038215412190519
chocolatecroissant	-0.014067457193841353
christmas	-0.0015345987611194516
cilantro	-0.005939328831588371
cinnamon	0.012936882022301787
citrus	-0.0007672993805597279
classic	0.09916251373615485
cloves	0.0176990648671501
cobbler	0.005527783508982254
cocoapowder	0.0379081598504089
coffee	-0.00019541615442400168
cold	-0.0019787961923641325
coldnoodles	0.04813239801568161
comfortfood	0.0509071631815071
condiment	0.007285956511218763
cookies	-0.05457538233905759
corn	0.06981273827443667
cranberry	0.01180260389182021
creamcheese	0.013326656840386978
creamy	0.06260754276366962
crisp	-0.02187230356542888
crispy	0.02626617339538337
croissant	-0.00019541615442400168
croissants	0.15059469990591026
crumble	0.00831769398140341
crust	0.0176990648671501
cucumber	0.04813239801568161
cumin	-0.0012079262178552725
cupcakes	-0.00988279192505653
custard	0.03972520006883934
custardy	0.06696964079653434
customizable	0.021016354140120732
danish	0.013326656840386978
dashibroth	0.008147762485505205
dates	-0.00952159265195864
decadent	0.09044909421202323
dessert	0.06926182239105183
dinner	-0.010009093500763344
dip	-0.006233315452479365
donuts	-0.059312073801645174
easterneuropean	-0.0067926275972896594
easy	0.07734805900833172
easydinner	0.030826670292100265
egg	0.002394730513729178
eggs	-0.044348904545914475
eggwhites	0.030615990502584237
fajitaseasoning	-0.0219600105326281
fall	0.01017199710020439
familyfriendly	0.024767364655412676
fastfood	-0.005167165556030828
fetacheese	0.006780116191088817
filling	-0.055962380157176944
fingerfood	0.017342751956162444
flaky	0.09688639743651896
french	-0.058189168336909985
frenchcuisine	0.10470547383452866
frenchpastry	0.08180230768904727
fresh	-0.03220667574313174
fried	0.017807806302315737
friedfood	-0.05273214842909425
friedrice	-0.07697873429729768
fries	0.0012171178612272369
frosting	0.013571837472951095
fruit	0.03306459280266666
fudgy	0.09724172180931288
gamedayfood	0.023428015950664474
ganache	-0.014453530452401274
garlic	0.06455746501930967
ginger	-0.0064526465552456926
glutenfree	0.005592987004856776
goldenbrown	0.008018474855178002
greenbeans	0.012452883935721998
greenonion	0.07101011157455536
greenonions	0.19219145898719972
grill	0.0075010570197574225
grilled	-0.024450261082189857
grilling	0.030684335716452727
groundbeef	-0.09846665827166001
gruyere	0.0291227463153937
gruyerecheese	0.11134480801940339
guacamole	-0.01868197174226139
hamandcheese	0.013326656840386978
hamburger	0.00563221990218412
handheld	0.021016354140120732
handtorndough	0.0017763993955801794
hawaii	0.00563221990218412
hawaiian	0.010126227583178594
healthy	-0.053289608528086174
herbs	-0.021175370661362193
holiday	0.06827813951331722
homemade	-0.012520989410879146
indulgent	-0.00988279192505653
italian	0.11311472083199674
italiancuisine	-0.0030085111524947006
jalapenos	0.0012171178612272369
japanesecuisine	0.03607736494818759
juicy	0.01409058699525175
ketchup	0.00563221990218412
keto	0.002511610177568579
kidfriendly	0.017342751956162444
koreancuisine	0.0017763993955801794
laminateddough	0.09606518103731262
lasagna	0.06329160980463597
lattice	0.0176990648671501
lettuce	0.027162714838925364
lime	0.0005133177236573217
loadednachos	0.02221089808943724
lowcarb	0.002511610177568579
lunch	-0.010009093500763344
macandcheese	-0.00436209803286472
maple	-0.059312073801645174
maplesyrup	-0.016563005948998254
